city,design,observations,h0_miller_madow_bits,hb_miller_madow_bits,cmi_miller_madow_bits,cut_points,h0_for_bound_bits,hb_for_bound_bits,delta_h_projected_bits,l0_exact_mse,lb_exact_mse,delta_l_exact_mse,projection_applied,repeated_raw_rows_identified,repeated_raw_rows_retained_in_e01,in_domain_endpoint_contributions_removed
VAN,all_retained_source_rows,37230,1.5633931730585495,1.4210637223829319,0.14232945067561764,"[26.0, 91.0]",1.5633931730585495,1.4210637223829319,0.14232945067561764,0.5113413333194373,0.41943543558775115,0.09190589773168617,False,217,217,353
VAN,remove_217_repeated_complete_raw_rows,37230,1.5633931730585495,1.4209774593553703,0.14241571370317918,"[26.0, 91.0]",1.5633931730585495,1.4209774593553703,0.14241571370317918,0.5113413333194373,0.41938487927229157,0.09195645404714575,False,217,217,353
